13	tt10991188	World Famous Lover	2020	Romance	154	India	Telugu	Kranthi Madhav	"Vijay Deverakonda, Raashi Khanna, Aishwarya Rajesh, Catherine Tresa, Izabelle Leite, V. Jayaprakash, Aditya Jonnawada, Priyadarshi, Shatru, Malhottra Shivam"	"An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, a youngster romancing in Paris with Iza, Union Leader Srinu in love with his boss lady, and a first college romance."	4.6		
14	tt11157218	Valayam	2020	Mystery	140	India	Telugu	Ramesh Kadumula	"Digangana Suryavanshi, Laksh Chadalavada, Ravi Prakash, Kalpalatha, Noel Sean, Sri Sudha Bheemireddy, Kireeti, Ravi Varma, Chitram Srinu"	"When his wife goes missing, Arvind must solve the mystery of her disappearance before time runs out and he becomes the prime suspect."	6.2		
15	tt11767552	O Pitta Katha	2020	"Drama, Thriller"	128	India	Telugu	Chandu Muddu	"Brahmaji, Nitya Shetty, Viswant Duddumpudi, Srinivas Bogireddy, Sanjay Rao, Ramya, Ramana Chalkapalli, Mana Sri, Manjari, Madhuri, Radha Devi, Mahesh, Charan, Siri Sri, Bhadraj"	Two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.	6.9		
16	tt12839816	Asalu Em Jarigindhante	2020	Drama	110	India	Telugu	Srinivas Bandari	"Karunya Chowdary, KarronyaKatrynn, Mahendran, Sri Pallavi, Phani, Kumunan Sethuraman, Shaani Soloman, Hari Teja"	"Vaasu and Saavi had been in deep love since childhood. They had an accident right before they got married. He lost his memory and not aware of what happened to Saavi. After this, Vaasu 's ..."	8.7		
17	tt11024608	Johaar	2020	Drama	122	India	Telugu	Teja Marni	"Esther Anil, Naina Ganguly, Ankith Koyya, Chaitanya Krishna"	"A gripping tale around the lives of five people grappling for their dreams when a young politician, suddenly in the hot seat of power, makes the life-altering decision of setting his father's legacy to stone by hook or by crook."	7.5		
18	tt11506054	Uma Maheswara Ugra Roopasya	2020	Drama	136	India	Telugu	Maha Venkatesh	"Satyadev Kancharana, Chandana Koppisetti, Karuna Kumar, V.K. Naresh, Praveena Paruchuri, Ram Prasad, K. Raghavan, Suhas, Tnr, Ravindra Vijay"	"After getting beaten up and insulted by the town bully, a softhearted simpleton Mahesh vows to be barefoot until he gets his revenge."	7.9		
19	tt11773276	Krishna and His Leela	2020	"Comedy, Romance"	125	India	Telugu	Ravikanth Perepu	"Sidhu Jonnalagadda, Shraddha Srinath, Seerat Kapoor, Shalini Vadnikatti, Jhansi, Viva Harsha, Sampath Raj, Samyuktha Hornadu, Raj Madiraju, Sricharan Pakala, Eugeni Austinova, Poojan Kohli, Shriman Srivatsa, Ravi Anthony, Durga Rao Gunda"	"Torn between his past and present girlfriends, a confused bachelor's indecisiveness spins a web of lies and cheating as he struggles to commit."	5.4		
20	tt12498582	Bhanumathi & Ramakrishna	2020	"Comedy, Drama, Romance"	93	India	Telugu	Srikanth Nagothi	"Darbha Appaji Ambarisha, Naveen Chandra, Raja Chembolu, Harsha Chemudu, Salony Luthra, Shalini Vadnikatti"	It is a story of 2 IT employees and their ups and downs in their relationship.	7.1		
21	tt11343552	Anukunnadi Okkati Ayyindhi Okati	2020	"Comedy, Crime, Drama"	122	India	Telugu	Baalu Adusumilli	"Dhanya Balakrishna, Siddhi Idnani, Tridha Choudhury, Komalee Prasad, Raghu Babu, Basha, Chaitu Jr., Himaja, Kalyani, Madhu Nandan, Rolar Raghu, Sagar, Sameer, Malhottra Shivam, Bhanu Teja"	"The story of four metropolitan girls who are very close to each other from childhood. A Journalist, a fashion designer working for movies, a software engineer and a home maker are these girls."	8.5		
22	tt11430262	Aswathama	2020	"Action, Thriller"	133	India	Telugu	Ramana Teja	"Naga Shaurya, Mehreen Pirzada, Jishu Sengupta, Prince Cecil, Sargun Kaur Luthra, Krishna Murali Posani, Mukku Avinash, Aadarsh Balakrishna, M.S. Bhaskar, Anitha Chowdhary, V. Jayaprakash, Pavithra Lokesh, C.V.L. Narasimha Rao, Varsha Reddy, Satya"	A man works to uncover the details behind a series of crimes targeting women.	6.4		
